Subject,Imagazine,Inewspaper,Ilibrary,MotherEd,FatherEd,Gender,Educ,AFQT,Income2005,FamilyIncome78,Race
147,1,1,1,10,12,female,14,22.466,12000,22000,3
148,1,1,1,12,12,male,12,74.997,21800,22000,3
149,1,1,1,11,12,female,12,39.973,95000,22000,3
152,1,1,1,12,12,female,12,93.332,85000,35000,3
156,1,1,1,12,17,male,11,4.975,14000,0,3
158,1,1,1,12,16,female,17,85.206,35100,35000,3
160,1,1,1,8,8,female,14,77.44,65000,17000,3
162,1,1,1,16,17,male,18,98.253,76000,24000,3
165,1,1,1,10,12,female,12,46.506,50000,20000,3
166,1,1,1,10,12,male,13,58.432,82000,20000,3
174,1,1,1,13,12,female,13,47.279,48000,30000,1
179,1,1,1,11,12,female,12,30.455,29000,10000,3
184,1,1,1,12,12,female,16,59.078,6000,23000,3
185,1,1,1,12,12,male,12,77.155,34000,23000,3
186,1,1,1,12,12,female,18,81.515,65000,30000,3
188,0,1,1,10,12,female,10,11.983,15000,22000,3
190,1,1,1,16,17,female,18,73.636,92000,26000,3
191,1,1,1,16,17,male,19,89.27,118000,26000,3
192,1,1,1,12,12,female,16,80.48,26000,20000,3
193,1,1,1,12,12,male,16,45.527,105000,28000,3
195,1,1,1,10,16,male,18,87.917,348204,31000,3
197,1,1,1,11,12,female,12,17.107,17000,25000,3
198,1,1,1,16,17,male,18,64.239,130000,30000,3
199,1,1,1,12,12,male,12,19.225,38000,65000,3
200,0,1,1,16,12,female,12,27.551,35000,25200,3
201,1,1,1,13,20,male,16,86.603,16000,49000,3
202,1,1,1,16,16,male,14,73.184,55000,4300,3
207,1,1,0,9,10,male,12,25.802,32000,13000,3
210,1,1,1,12,12,male,16,59.04,50000,20000,3
218,1,1,1,12,12,male,16,81.447,261763,15000,3
219,1,1,1,12,11,female,20,60.012,102000,55000,3
220,1,1,1,12,12,female,20,89.381,105000,55000,3
228,1,1,1,12,15,female,9,2.739,1600,8450,1
230,1,1,1,12,8,male,15,34.084,55000,19000,3
232,1,1,1,10,14,male,14,55.78,45000,29000,3
233,0,1,0,10,15,male,12,31.472,39000,29000,3
234,0,1,0,9,9,male,12,35.461,140000,5000,3
235,1,1,1,12,12,male,15,61.313,98000,16000,3
236,0,1,1,9,12,female,13,71.673,30000,30000,3
239,1,0,1,10,11,female,10,13.294,9000,75,3
240,1,1,1,8,8,female,12,50.483,38000,10000,3
242,1,1,0,12,12,female,12,30.481,75000,7236,3
243,1,1,1,12,12,male,12,62.957,94600,12600,3
244,1,1,1,16,7,female,12,73.828,5000,7910,3
245,1,0,0,14,12,female,14,81.929,25000,15000,3
247,0,0,1,13,8,male,20,52.544,79000,6000,3
248,0,1,1,16,8,male,14,8.261,2000,7000,3
253,1,0,1,8,12,male,11,34.745,20000,14000,3
256,0,1,1,11,9,female,13,56.308,3000,18000,3
257,0,1,1,11,9,male,12,58.214,22000,18000,3
259,0,1,1,12,12,male,12,56.348,14000,19700,3
260,1,1,1,12,18,male,14,83.227,65000,27000,3
269,1,1,1,12,18,male,16,83.698,154541,8000,3
273,0,1,1,12,12,male,15,64.372,61500,13870,3
274,0,1,1,15,18,male,13,88.343,45000,5800,3
275,1,1,1,14,18,female,14,72.963,52000,5800,3
279,0,1,0,12,14,male,12,59.272,64500,25000,3
281,1,1,1,13,13,male,18,72.769,99000,25000,3
282,1,1,1,13,13,female,16,85.4,14000,25000,3
283,0,1,1,8,12,male,12,15.136,53000,29000,1
284,0,1,1,8,11,male,12,44.708,90000,27000,1
285,0,1,1,8,12,female,10,15.448,35000,29000,1
290,0,1,1,6,7,female,10,11.136,19000,17900,1
294,1,1,0,12,18,female,12,62.191,12000,20000,3
299,0,0,1,6,12,male,11,12.439,25000,4872,1
306,0,0,1,11,11,male,14,27.277,40000,7226,2
310,1,1,1,12,8,male,12,18.491,70000,30000,3
313,0,1,1,11,10,male,11,30.794,37000,17000,3
317,1,1,1,12,18,male,16,78.739,31500,29000,3
321,1,1,1,10,12,female,16,76.525,69000,50000,3
323,1,1,1,13,12,male,12,65.825,80000,30000,3
324,1,1,1,12,12,male,9,10.373,23000,30000,3
327,1,1,1,15,16,female,16,88.257,28000,75000,3
335,1,1,1,13,12,female,15,62.746,10000,800,2
341,1,1,1,12,16,female,14,46.696,125000,17000,3
342,1,1,1,12,16,male,17,95.123,96000,17000,3
346,1,1,1,12,8,male,16,43.221,120000,15300,3
348,1,1,1,12,12,male,12,36.155,164307,49000,3
350,1,1,1,12,12,male,17,47.18,100000,49000,3
351,1,1,1,12,16,male,12,19.021,39000,35000,3
354,1,1,1,12,12,female,12,65.997,9600,21975,3
355,1,1,1,12,12,male,13,55.481,120000,21975,3
356,1,1,1,12,12,male,11,41.794,50000,25000,3
357,1,1,1,12,13,male,16,68.746,80000,25000,3
358,1,1,1,12,14,male,16,28.374,110000,40000,3
359,1,1,1,14,13,female,16,37.74,60000,30000,3
360,1,1,1,16,16,female,19,80.272,34000,45000,3
362,1,1,1,12,13,male,12,19.625,48000,12000,3
367,1,1,1,16,16,female,16,76.624,58000,30000,3
369,1,1,1,12,19,female,16,91.042,12000,46000,3
370,1,1,1,12,18,female,16,89.893,20000,46000,3
373,0,1,1,4,4,female,12,11.771,9000,30270,3
375,0,1,1,4,4,male,12,11.374,17500,30270,3
376,1,1,1,12,12,male,18,83.17,47000,8500,3
377,0,1,1,9,12,male,12,32.899,10000,5400,2
381,0,1,1,10,12,male,12,49.149,105000,12320,2
385,1,1,1,10,8,female,12,39.687,41500,21500,2
386,1,1,1,10,7,female,12,63.197,43000,21500,2
388,0,1,1,12,14,female,15,78.241,70000,11148,2
391,0,1,1,12,12,female,12,23.959,35000,14000,2
392,1,1,1,11,12,male,12,93.142,60000,29000,3
393,1,1,1,11,12,male,13,76.768,68000,29000,3
399,1,1,1,12,10,female,18,66.314,62500,25500,3
400,1,1,1,12,10,female,16,100,75000,25500,3
401,1,1,0,11,11,female,12,24.833,11500,20000,3
405,0,1,1,12,15,female,13,16.239,26000,20000,3
408,1,1,1,12,12,male,12,85.102,68000,35000,3
409,1,1,1,16,16,male,16,90.513,180733,3617,3
410,1,1,0,12,12,male,12,68.615,31085,16000,3
411,1,0,0,11,12,male,12,18.169,16000,20000,3
414,1,1,0,17,16,female,14,73.351,21000,9500,3
418,1,1,1,13,12,female,13,60.767,28000,6000,3
422,1,1,1,16,20,male,19,99.379,55000,63000,3
426,1,1,1,12,12,male,12,27.838,82000,23400,1
433,0,1,1,12,11,male,12,1.622,21528,19000,3
434,0,1,1,8,8,male,12,65.734,59000,15000,3
437,1,1,1,8,10,female,12,71.472,22000,19260,3
438,1,1,1,10,12,female,13,79.95,36000,12000,3
439,1,1,0,12,8,female,16,75.485,77000,18000,3
442,1,1,1,12,8,female,13,64.195,15000,14750,3
443,1,1,0,16,14,male,14,97.365,47000,10000,3
444,1,1,0,13,16,female,16,80.238,1500,40000,3
445,1,1,1,14,16,male,16,93.639,40000,40000,3
446,0,1,1,12,11,female,12,25.328,32000,7000,3
449,1,1,1,12,12,female,12,47.638,14000,30000,3
453,1,1,1,12,12,male,13,72.199,40300,30000,3
456,1,1,1,12,14,male,18,48.986,50000,37000,3
457,1,1,1,15,14,male,16,78.555,53000,35500,3
458,1,1,1,12,12,female,18,86.548,65000,40000,3
459,1,1,1,12,12,female,20,85.905,10000,20000,3
460,1,1,1,12,10,female,13,31.254,21400,10000,3
461,1,1,1,12,18,male,16,90.491,85000,40000,3
464,1,1,1,12,12,male,14,79.33,78000,26000,3
465,1,1,0,12,12,female,12,85.844,12000,17500,3
467,1,1,1,12,18,female,16,95.508,20000,70000,3
470,1,1,0,8,6,male,12,11.35,46000,5040,3
479,1,1,1,12,12,male,16,76.189,86000,24000,3
480,1,1,1,12,12,male,18,51.896,60000,30000,3
481,1,1,1,16,16,male,19,93.653,388725,30000,3
482,1,1,1,16,16,male,19,77.991,122000,50000,3
484,1,1,1,12,10,male,12,13.303,30000,52000,3
485,1,1,1,12,12,female,12,8.229,12000,24000,3
486,1,1,1,12,14,male,12,50.498,196424,24000,3
489,1,1,0,12,18,male,14,59.586,85000,30000,3
491,0,1,1,12,11,female,12,13.761,20000,46000,3
495,1,1,1,12,12,female,14,69.07,29821,30000,3
496,1,1,1,12,12,female,16,92.866,25000,30000,3
499,1,1,1,10,11,female,13,39.163,36000,40000,3
500,1,1,1,10,11,female,14,64.295,53000,40000,3
501,1,1,1,12,12,female,19,78.966,25000,30000,3
502,1,1,1,16,12,male,12,71.792,90000,30000,3
503,0,1,1,10,10,female,12,56.773,23000,30000,3
505,0,1,0,12,12,male,12,26.498,28000,55000,3
506,1,1,1,12,14,female,16,43.741,43000,55000,3
520,1,1,1,12,8,male,16,26.381,73000,35000,2
521,0,1,1,11,11,male,17,37.473,80000,35000,2
527,0,1,1,13,20,female,13,61.184,50000,14000,3
533,1,1,1,12,12,female,15,55.185,5000,25000,3
535,0,1,0,9,10,male,12,33.208,20000,12000,3
540,1,1,1,8,8,male,12,16.138,60000,11000,3
543,0,1,1,12,12,male,12,21.108,98000,60000,3
547,1,1,1,9,16,male,11,45.744,69000,25000,3
548,1,1,1,12,15,female,12,72.071,15000,27000,3
550,1,1,1,14,16,female,12,81.039,22000,22300,3
553,1,1,1,12,16,male,16,99.154,10000,35000,3
554,1,1,1,12,16,male,19,91.427,1100,35000,3
556,1,1,1,12,12,male,18,86.423,147000,44000,3
557,1,1,1,12,15,female,17,99.324,1200,37000,3
558,1,1,1,12,15,female,17,83.317,36000,37000,3
560,1,1,1,12,18,male,14,62.344,78500,33000,3
561,1,1,1,12,14,female,20,76.633,42000,60000,3
562,1,1,1,12,13,male,20,64.432,55000,45000,3
564,0,1,1,12,12,male,14,33.668,5000,45000,3
565,0,1,1,12,12,male,13,35.041,55000,45000,3
583,1,1,1,12,15,male,13,73.326,36000,8850,3
585,1,1,1,12,12,female,9,25.699,25000,23000,3
594,0,1,1,10,12,male,12,53.342,80000,4212,2
597,0,1,1,7,0,male,11,2.826,500,10000,2
604,1,1,1,12,12,female,15,62.762,40000,30000,3
606,1,1,1,11,14,male,13,72.782,35000,35000,3
608,0,1,1,14,16,female,16,88.693,27000,30000,3
609,0,1,1,14,16,female,16,45.803,32000,30000,3
612,1,1,1,12,12,female,16,48.877,46136,4000,3
613,1,1,1,16,12,male,12,35.747,95000,11000,3
616,0,0,0,9,9,male,12,9.141,25000,27000,3
622,0,0,1,13,13,female,15,52.674,36500,5000,2
631,0,1,0,10,9,male,11,22.379,18000,6060,3
632,0,1,1,9,9,female,12,1.31,4000,8060,3
636,1,1,0,12,12,female,12,34.526,40000,75001,3
639,1,1,0,12,15,male,12,60.396,35000,25000,3
640,0,1,1,10,11,female,12,77.715,42000,20000,3
645,1,1,1,12,14,male,16,86.137,163172,75001,3
646,1,1,1,12,12,female,12,1.79,12500,15000,3
647,1,1,1,12,18,male,12,43.472,61000,40000,3
649,1,1,1,17,17,male,17,85.54,110000,6400,3
650,1,1,1,17,17,female,16,77.736,58000,22000,3
653,1,1,0,16,13,male,18,90.095,96000,20000,3
659,0,1,1,12,16,male,14,39.786,75000,4000,3
662,1,1,1,12,16,female,12,70.5,22000,42000,3
663,1,1,1,12,16,male,16,76.234,85000,20000,3
664,1,1,1,12,17,female,17,47.912,43000,52000,3
665,1,1,1,12,17,female,16,59.991,30000,45000,3
667,1,1,1,12,10,male,14,70.912,58000,35000,3
669,1,1,1,11,8,male,12,79.232,29000,24000,3
671,1,1,1,18,13,male,16,79.303,10000,16000,2
674,0,1,1,10,11,male,12,2.926,50000,25000,2
675,1,1,1,9,12,male,11,3.663,8400,25000,2
679,1,0,1,8,4,male,12,8.563,20000,5000,2
681,0,1,0,9,4,male,12,6.381,5000,5000,2
683,1,1,1,10,10,female,18,45.808,52000,16000,2
684,1,1,1,12,12,male,12,29.001,72000,30000,3
686,1,1,1,12,12,male,18,79.313,57000,30000,3
688,0,1,0,11,11,female,14,41.58,23000,15000,3
692,0,1,1,13,12,female,13,36.055,45000,20000,3
697,0,1,0,3,12,male,12,14.729,50000,25000,3
701,1,1,1,12,12,male,9,10.566,9800,10000,3
703,1,1,1,9,9,female,12,40.97,3000,16300,3
704,0,1,1,12,14,female,13,46.092,56000,16000,3
707,1,1,1,11,10,male,14,31.469,48000,18000,3
709,0,1,1,9,9,male,12,26.594,41167,10000,3
711,0,1,1,8,8,male,12,38.582,40000,25000,3
712,1,1,1,12,12,female,13,80.637,41000,50000,3
713,1,1,1,12,9,female,12,14.274,11000,14049,3
714,1,1,1,12,9,male,11,26.688,20000,14049,3
717,1,1,1,12,9,male,12,30.429,40000,30000,3
719,0,0,0,8,6,male,12,6.818,48000,20000,3
720,0,0,0,8,2,female,12,36.158,35000,23700,3
721,0,0,0,8,6,female,13,24.725,22000,20000,3
722,1,1,0,11,12,male,11,38.013,57500,60000,3
723,1,1,0,11,12,female,12,26.792,25000,60000,3
724,1,1,1,17,19,female,15,78.513,20000,40000,3
725,1,1,1,17,19,male,20,97.319,74000,40000,3
728,0,0,1,9,15,male,12,20.133,30000,13000,3
730,1,1,1,12,12,male,15,70.604,100000,30000,3
731,1,1,1,12,12,male,12,46.018,40000,10000,3
732,1,1,1,12,12,male,12,51.017,35000,50000,3
733,1,1,1,12,12,female,13,27.489,28820,50000,3
745,0,1,0,12,12,female,12,31.508,41000,25000,2
746,0,1,0,14,12,female,13,65.278,35500,26200,3
747,1,1,1,14,12,male,12,70.368,50300,26200,3
748,0,1,1,12,10,female,13,23.929,34000,40000,3
751,1,1,1,13,14,male,16,28.746,55000,0,3
752,1,1,1,8,10,female,19,80.463,120000,4250,3
755,0,1,1,5,3,female,12,54.906,37000,11000,1
756,0,1,1,5,3,female,12,20.084,26000,11000,1
757,0,1,1,11,9,female,14,31.118,35000,5328,2
758,0,1,1,10,2,female,12,11.905,20000,20000,2
761,0,1,1,12,12,female,15,55.614,25000,3150,3
762,1,1,1,8,12,male,12,48.786,12000,25500,1
763,1,1,1,10,12,male,12,34.18,23000,25500,1
764,1,1,1,8,12,female,14,31.809,21000,25500,1
769,1,1,1,12,12,male,12,34.236,3000,35000,3
772,1,1,1,12,14,male,12,52.482,74000,14510,3
774,1,1,1,10,12,male,14,53.534,35000,26000,3
776,1,1,1,12,13,male,17,97.088,115000,23000,3
777,1,1,1,12,13,male,16,79.85,85000,23000,3
778,1,1,1,12,13,male,17,89.794,30000,23000,3
779,1,1,1,17,12,female,14,60.353,26000,20000,3
784,1,1,0,10,12,male,13,49.537,30000,17000,1
789,0,1,1,12,12,female,12,42.361,15000,50000,3
792,1,1,1,12,12,female,16,28.537,30000,25000,3
793,1,1,1,12,17,male,16,61.347,30000,50000,3
796,1,1,1,11,12,male,16,94.119,58000,40000,3
797,1,1,1,11,12,male,12,68.375,72000,40000,3
799,1,1,1,12,12,male,12,34.051,53000,26000,3
800,1,1,1,10,9,male,14,32.078,54000,29000,3
801,1,1,1,11,6,female,14,25.324,19327,20000,3
802,1,1,1,11,6,male,12,17.362,30000,20000,3
804,1,1,1,12,12,female,19,40.982,16000,30000,3
806,1,1,1,12,12,male,12,13.465,35000,30000,3
807,1,1,1,12,12,male,16,76.332,70000,30000,3
810,1,1,1,12,12,female,16,91.719,115000,35000,3
811,1,1,1,12,10,female,15,63.642,16000,30000,3
812,1,1,1,12,10,female,16,86.99,10500,21000,3
813,0,1,1,12,13,male,20,85.915,33000,35000,3
814,1,1,1,12,14,female,12,19.541,16000,45000,3
815,1,1,1,16,17,male,12,66.54,23400,25000,3
816,1,1,1,12,12,female,16,39.343,29000,31000,3
817,1,1,1,12,14,male,16,81.325,117000,30000,3
818,0,0,1,12,12,male,13,35.569,85000,41000,3
820,0,1,1,17,16,female,16,49.039,85000,30000,3
821,1,1,1,18,16,female,18,99.18,34000,65000,3
825,1,1,1,16,16,male,17,89.264,73000,40000,3
827,1,1,1,12,16,male,20,92.042,169541,30000,3
829,1,1,1,14,17,female,19,38.888,66000,5410,3
832,1,1,1,12,12,male,12,38.997,20000,16000,2
835,1,1,1,10,10,female,13,25.338,25000,15000,2
839,1,1,1,12,10,female,15,4.208,30000,14000,2
843,0,1,0,13,11,female,12,34.453,3000,17000,3
847,0,1,1,11,11,male,16,22.976,67500,30000,2
849,0,1,0,12,8,female,12,36.881,20000,12000,3
850,0,1,1,12,11,male,13,82.62,85000,12000,3
851,0,1,1,13,12,male,12,55.782,48000,7950,3
854,1,1,1,12,12,female,12,50.954,22000,35000,3
856,1,1,1,12,12,female,13,83.737,25000,25000,3
859,1,1,1,12,12,male,12,23.25,46000,25000,3
860,0,1,1,11,12,male,12,69.283,37500,25000,3
861,1,1,1,12,12,female,12,49.173,29000,15000,3
862,1,1,0,9,12,female,11,41.383,25000,10700,3
863,1,1,1,14,16,male,12,38.088,125000,60000,3
866,1,1,1,12,12,female,12,27.315,36000,21000,3
872,1,1,1,16,17,male,16,71.872,176354,30000,3
874,1,1,1,16,17,male,19,94.976,90000,30000,3
875,1,1,1,15,15,female,12,25.657,40000,5000,3
878,1,1,1,14,14,female,12,68.575,50000,38000,3
879,1,1,1,19,20,female,20,79.765,52900,25000,3
881,1,1,0,16,16,male,16,80.898,8000,40000,3
882,1,1,1,16,16,male,16,64.498,42000,38000,3
883,1,1,1,16,16,female,15,75.516,30000,38000,3
884,1,1,1,13,15,female,18,98.089,52000,21000,3
885,1,1,1,20,20,male,16,81.33,37000,21000,3
888,1,1,1,14,14,male,12,21.826,50000,12250,3
889,1,1,1,12,12,female,15,45.056,24000,12600,3
890,0,1,1,12,14,male,19,82.756,183306,40000,3
891,0,1,1,12,14,male,12,42.935,36000,4452,3
896,1,1,1,16,17,female,16,98.804,15000,25000,3
898,1,1,1,16,16,female,16,79.576,40000,28000,3
899,1,1,1,11,10,male,15,83.208,31000,10000,3
902,1,1,1,13,16,male,17,82.49,64320,25000,3
906,1,1,1,13,12,female,19,93.511,90000,20000,3
907,1,1,1,12,12,male,19,93.432,7000,20000,3
908,1,1,1,12,12,male,16,82.465,37000,20000,3
912,1,1,1,12,10,female,16,91.404,34000,19000,3
915,1,1,1,10,8,female,14,92.122,57000,37000,1
920,1,1,1,12,12,male,16,86.877,120000,17000,3
921,1,1,1,12,12,male,14,7.983,65000,17000,3
929,1,1,1,12,12,male,12,75.258,42000,20000,3
932,0,1,1,12,12,female,12,26.769,30000,11601,3
936,1,1,1,12,12,female,15,58.404,15000,25000,3
937,1,1,1,12,12,male,14,84.974,75000,25000,3
938,0,1,1,12,12,male,12,21.712,38500,25000,3
944,1,1,1,12,12,male,18,97.299,54000,6000,3
945,0,1,1,12,12,male,16,51.523,37300,20000,3
947,1,1,1,10,12,male,13,77.263,64000,17000,3
949,1,1,1,12,11,female,12,64.067,70000,21000,3
950,1,1,1,12,11,female,12,91.63,30000,21000,3
951,0,0,0,12,12,male,12,52.109,72000,18000,3
955,1,1,1,12,12,male,12,45.546,40000,25000,3
956,1,1,1,12,12,male,13,55.543,15000,25000,3
958,1,1,0,8,12,male,12,41.439,35000,45000,3
959,1,1,0,15,16,male,14,96.442,170247,75001,3
960,1,1,0,15,16,male,15,88.979,150000,75001,3
961,1,1,0,15,16,male,16,88.914,140000,75001,3
963,1,0,1,12,9,female,12,51.978,65000,75001,3
964,1,0,1,12,9,female,12,28.308,48000,75001,3
966,1,0,1,12,10,female,12,18.824,44000,15000,3
967,1,0,1,12,10,female,12,17.834,56000,15000,3
968,1,1,1,8,10,male,12,43.365,65000,20000,3
969,1,1,1,12,12,female,12,44.379,31000,33000,3
970,1,1,1,12,12,male,12,57.553,110000,33000,3
971,1,1,1,12,12,female,12,53.275,3000,33000,3
972,1,1,1,12,12,female,12,57.315,38000,33000,3
973,1,1,1,12,12,male,12,65.073,42000,21000,3
974,0,1,0,12,12,female,20,66.668,55000,18000,3
976,0,1,1,11,12,female,18,62.466,51000,45000,3
990,1,1,1,12,16,male,12,60.136,39000,7010,3
996,1,1,1,12,15,male,12,30.891,60000,17000,3
997,1,1,1,12,12,male,12,78.723,46000,24900,3
999,0,1,1,10,8,female,16,67.602,27000,14144,3
1003,1,1,1,12,16,male,16,61.145,70000,15000,3
1004,1,1,1,12,11,female,14,27.973,56000,7500,3
1007,1,1,0,12,11,male,12,47.45,125000,22000,3
1011,1,1,1,12,12,male,12,34.339,45000,23000,3
1013,0,0,1,9,8,male,14,91.199,25000,25000,3
1019,1,1,1,16,16,female,17,100,29000,50000,3
1020,1,1,1,16,16,female,17,98.236,84000,50000,3
1029,0,1,0,14,11,female,12,26.365,17000,4572,2
1034,0,0,1,9,8,female,7,12.727,23000,4080,2
1038,1,1,1,12,14,female,14,64.065,24000,20000,3
1039,1,1,1,13,12,female,15,71.23,44000,16200,3
1042,0,1,1,14,14,male,12,28.954,26000,6000,3
1043,1,1,1,12,16,male,12,3.732,16000,6850,3
1044,0,1,1,12,9,male,12,4.871,25000,20000,3
1046,1,1,1,16,12,male,19,70.337,63,30000,3
1048,1,1,1,11,11,female,12,3.156,13000,11076,3
1049,1,1,0,12,14,female,18,84.635,51000,29000,3
1051,1,1,1,8,12,male,18,87.785,67000,25000,3
1052,1,1,0,12,12,male,18,89.341,183467,30000,3
1053,1,1,0,12,12,male,16,73.413,394058,30000,3
1056,0,1,1,11,12,female,12,15.555,24000,10205,3
1058,1,0,1,13,8,male,14,34.012,47000,11000,2
1060,1,1,1,10,14,male,12,33.045,12000,24000,3
1062,1,1,0,12,12,male,12,58.977,115000,10300,3
1063,0,1,0,10,8,female,12,45.58,20518,1963,3
1065,1,1,1,12,12,female,12,70.03,20160,7200,3
1068,1,1,0,8,11,male,9,0.958,12000,3500,2
1071,0,1,1,10,10,female,12,8.758,12649,19037,2
1072,0,0,0,16,18,male,18,35.78,65000,18000,2
1076,0,1,1,12,12,female,14,43.456,40000,3000,1
1078,1,1,1,12,12,female,16,88.023,61000,14000,2
1080,1,1,1,10,8,female,12,68.497,7500,40000,3
1081,1,1,1,16,16,male,14,76.163,38262,51000,3
1082,1,1,1,16,16,female,16,71.597,70000,51000,3
1085,1,1,0,8,12,male,12,65.317,36000,25000,3
1086,1,1,1,16,18,female,18,77.119,67500,39000,3
1089,0,1,1,8,10,male,9,1.672,35000,13000,3
1090,1,1,1,10,9,female,9,12.621,1300,13000,3
1091,0,1,0,8,5,male,10,51.083,24000,17000,3
1092,0,1,0,8,5,male,12,59.139,15000,17000,3
1093,1,1,1,12,18,female,16,50.614,35000,50000,3
1096,1,1,1,12,7,male,12,15.428,48000,10400,3
1097,1,1,1,16,16,male,14,97.926,59000,37000,3
1098,1,1,1,16,16,male,20,98.356,108000,37000,3
1101,1,1,1,12,14,female,19,89.998,50000,23000,1
1102,0,1,1,14,16,male,15,44.711,429,40000,3
1104,0,1,1,12,18,female,15,55.829,90000,26000,3
1105,1,1,1,12,19,female,18,65.903,61000,26000,3
1106,1,1,1,12,18,female,16,87.203,35000,26000,3
1111,0,0,1,9,9,female,12,44.401,44000,15765,3
1114,0,1,1,9,12,female,12,31.751,50000,11000,1
1116,0,0,0,10,10,female,14,31.89,30000,4300,1
1118,0,0,0,6,6,female,12,22.955,80000,2000,1
1122,0,1,1,12,17,male,16,99.147,37000,9350,1
1130,1,0,1,8,9,female,12,50.405,5000,14030,1
1134,1,1,0,13,12,male,11,65.998,53000,25000,3
1138,1,1,1,14,14,male,16,58.192,58000,6400,3
1139,1,1,1,13,20,female,16,72.569,60000,50000,3
1141,1,1,1,12,15,female,12,17.614,30000,75001,3
1143,1,1,1,16,20,male,16,83.528,180124,60000,3
1144,1,1,1,16,20,male,16,79.836,248713,60000,3
1147,1,0,0,14,16,female,12,58.247,6500,25000,3
1148,0,1,0,6,9,male,11,2.509,31000,5532,2
1153,0,1,0,12,10,male,10,4.843,2300,20000,2
1155,1,1,1,12,12,female,14,25.334,52000,16000,2
1156,0,1,1,12,14,male,12,39.245,25000,20000,2
1157,0,1,1,11,16,female,16,70.82,63000,10300,2
1158,0,1,1,11,4,female,14,27.018,31000,25000,2
1159,0,1,0,11,4,female,15,45.679,30000,25000,2
1160,0,1,1,11,4,female,14,34.867,20000,25000,2
1163,0,0,0,12,10,female,14,20.274,25000,100,3
1166,0,1,1,12,14,female,13,42.776,20609,16000,2
1169,0,1,1,12,14,male,12,53.364,130000,10000,3
1176,1,1,0,12,18,male,16,62.064,77000,33000,3
1179,1,1,1,12,12,female,12,74.366,35000,0,3
1181,1,1,1,13,14,female,13,64.846,150000,50000,3
1182,1,1,1,17,18,female,18,91.545,48000,49000,3
1184,1,1,1,16,16,female,16,90.731,95000,6700,3
1185,1,1,1,16,16,male,20,100,268384,30000,3
1186,1,1,1,16,16,male,16,58.93,140000,30000,3
1187,1,1,1,12,12,female,19,86.394,39000,20000,3
1188,1,1,1,12,12,male,15,79.064,130000,20000,3
1200,0,0,1,12,6,female,16,49.449,9000,10700,3
1208,1,1,1,9,9,female,20,82.941,120000,13000,2
1221,0,0,0,11,9,female,12,0.899,16200,5124,2
